"","RNAseq_OLD_rep01.bam","RNAseq_OLD_rep02.bam","RNAseq_OLD_rep03.bam","RNAseq_OLD_rep04.bam","RNAseq_OLD_rep05.bam","RNAseq_OLD_rep06.bam","RNAseq_OLD_rep07.bam","RNAseq_OLD_rep08.bam","RNAseq_OLD_rep09.bam","RNAseq_OLD_rep10.bam","RNAseq_OLD_rep11.bam","RNAseq_OLD_rep12.bam","RNAseq_YOUNG_rep01.bam","RNAseq_YOUNG_rep02.bam","RNAseq_YOUNG_rep03.bam","RNAseq_YOUNG_rep04.bam","RNAseq_YOUNG_rep05.bam","RNAseq_YOUNG_rep06.bam","RNAseq_YOUNG_rep07.bam","RNAseq_YOUNG_rep08.bam","RNAseq_YOUNG_rep09.bam","RNAseq_YOUNG_rep10.bam","RNAseq_YOUNG_rep11.bam","RNAseq_YOUNG_rep12.bam"
"YAL069W",8.93630952692646,45.2334658617465,30.7371678408118,17.3169475186638,10.7131263894576,14.5937821444842,40.6623059982414,20.2686966802123,30.8718096408293,0,22.1041308240836,18.5012999104477,28.1411470810221,33.3222836046508,18.6001221187049,38.833220867808,10.003272894352,9.46256873102186,37.3554898503213,12.6094168047654,33.9216524526106,19.9968269192687,15.4506986887413,27.1493215647627
"YAL068C",17.8726190538529,21.5397456484507,27.6634510567306,24.0513159981442,9.64181375051181,28.2754529049381,21.299303141936,10.6169363563017,11.7606893869826,29.1736662921683,12.9575939313594,17.527547283582,12.1944970684429,25.1768365012917,12.7875839566096,9.93407975688112,13.754500229734,23.6564218275547,27.2383780158593,23.2789233318747,23.9933639298953,16.5191178898306,11.588024016556,12.4434390505162
"YAL067C",101.650520868788,140.00834671493,100.408081613318,183.752054225821,154.269020008189,98.5080294752684,142.318070993845,77.214082591285,86.7350842289966,107.317415289048,96.0386373736046,87.6377364179102,82.5473647709981,85.1569469896631,89.5130876962672,104.75938652711,41.2635006892019,110.002361498129,111.288230179082,99.9053792992954,151.406399971408,89.5510075080292,80.1504994478455,116.515838382107
"YAL066W",43.5645089437665,87.2359698762254,105.53094292012,90.4329481530221,128.557516673491,65.6720196501789,74.5475609967759,37.6418652632514,85.2649980556237,43.7604994382524,72.410083734067,77.9002101492535,64.7246382863508,51.0941681937979,32.5502137077335,95.7284049299453,62.5204555896999,66.237981117153,93.3887246258032,113.484751242889,89.3545967044377,47.8184991547729,77.2534934437065,59.954751788851
"YAL065C",10.0533482177923,22.6167329308732,23.565162011289,11.5446316791092,24.6401906957524,5.47266830418158,0,8.68658429151956,17.6410340804739,0,16.7686509699945,14.606289402985,23.4509559008517,34.8032739870797,24.4126602808001,3.61239263886586,20.006545788704,9.46256873102186,28.016617387741,57.2273531908585,37.2310819601824,18.2579724045497,27.0387227052973,11.3122173186511
"YAL064W-B",100.533482177923,126.007512043437,126.022388147328,166.435106707158,104.988638616684,145.937821444842,194.59817870587,135.124644534749,141.128272643791,122.946165088423,163.113241253582,92.5064995522385,181.041379554575,176.237855509042,153.451007479315,136.367822117186,162.55318453322,112.368003680885,127.631256988598,145.493270824217,151.406399971408,148.672061008476,129.399601518208,127.828055700758
"YAL063C-A",0,3.23096184726761,9.22115035224353,19.2410527985153,1.07131263894576,30.0996756729987,7.74520114252217,27.0249289069497,5.88034469349129,2.08383330658345,5.33547985408915,3.89501050746267,10.3184205963748,14.0694086330748,11.6250763241905,16.2557668748964,20.006545788704,16.5594952792883,3.11295748752677,27.1587438871871,20.6839344223235,14.7802633751116,33.7984033816216,10.180995586786
"YAL062W",62.5541666884852,30.155643907831,49.1794685452988,55.7990531156945,109.273889172467,78.4415790266026,57.120858426101,76.2489065588939,30.8718096408293,29.1736662921683,41.9216274249862,43.8188682089551,49.7160265098057,54.7966441498702,48.8253205616003,29.8022392706434,52.5171826953479,55.5925912947534,47.4726016847833,95.0556036051549,49.6414426135765,66.9458988166821,59.8714574188725,67.8733039119068
"YAL061W",197.715848283248,68.9271860750423,43.0320349771365,94.2811587127252,134.985392507165,122.222925460055,81.3246119964828,45.3632735223799,79.3846533621325,89.6048321830883,56.4036441717995,20.448805164179,89.1136324232366,46.6511970465111,56.9628739885336,50.5734969441221,48.7659553599659,43.7643803809761,110.5099908072,143.55336054656,63.7065180207565,100.853561853703,62.7684634230115,97.2850689403997
"YAL060W",2734.5107152395,3000.48656882918,1612.67673938126,1504.6503288439,2295.82298526076,2080.52606697303,1958.56773891529,1635.97337490285,2012.5479713474,3610.24120365582,2483.28476637463,2194.83842095522,1730.68054548286,1592.06466111109,1993.70058959868,2142.14883484746,2605.85258897869,1413.47120419639,1963.49793525751,1523.79952309896,1462.76784234672,1717.11883328503,2086.80999164812,1958.14481785851
"YAL059W",1595.13125055637,1854.57210033161,2036.84965558446,2187.70770319119,2426.52312721214,1133.75445034962,1827.86746963523,1639.83407903241,2987.21510429358,1495.15039747362,1716.50009020125,1630.06189737313,1626.55830128308,1335.85332495089,1993.70058959868,2345.34592078366,1913.12594104482,2352.63115075031,2134.71059707149,2143.60085681013,2234.69227498783,1403.25559337824,1547.96687487827,1876.69685316422
"YAL058W",273.674479262123,312.326311902535,294.052239010433,303.046581576617,217.476465705989,298.260422577896,282.699841702059,282.796577490581,269.025769727227,369.880411918562,307.933408721716,392.422308626864,334.879650264163,333.963331237722,347.589782093297,254.673681040043,368.870687979229,257.854997920346,287.948567596227,338.514343451011,226.695921268666,317.34094893622,222.103793650656,292.986428553064
"YAL056W",307.185639988097,297.24848994862,289.953949964991,298.236318376988,336.392168628968,353.899217003742,165.553674421411,262.527880810369,226.393270699415,329.245662440185,374.245801193967,280.440756537313,362.082759109151,348.773235062012,222.038957792039,250.158190241461,321.355141731057,209.359333173859,275.496737646119,354.03362567226,378.929678616967,298.213549274311,339.915371152308,320.135750117827
"YAL055W",426.708779910738,356.482790481859,497.942119021151,359.807687332237,334.249543351076,600.169290691913,489.883972264527,456.528263320972,371.931801863324,356.33549542577,403.209834687594,447.926208358208,403.35644149465,447.99959068475,435.940362157145,391.944601316946,300.09818683056,386.782496880519,410.132148981652,268.677573455387,435.189980245687,521.656354415704,379.507786542208,360.859732464971
