"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"YAL069W" 22.5607967649789 -0.153257535281341 0.281061306457098 -0.545281516026593 0.585559914780003 0.857645727206742
"YAL068C" 18.9103384525904 0.149869624201856 0.272209868472332 0.550566461983684 0.581930904802317 0.856081378458782
"YAL067C" 105.514532120913 0.216350048317686 0.182455866020341 1.18576647074513 0.235714536074828 0.633756959094547
"YAL066W" 73.5324090551357 0.0567487958317517 0.216098094283373 0.262606646393355 0.792853776739065 0.93494330286016
"YAL065C" 19.6182845573215 -1.08178734990345 0.385449307863692 -2.80656192094138 0.00500732876689187 0.17896323073359
"YAL064W-B" 140.137360589499 -0.113886422508548 0.140026449469976 -0.813320790033797 0.416034160297811 0.75875574613874
"YAL063C-A" 12.863108061352 -1.15223260926625 0.435372978972463 -2.64654139075343 0.00813195527725407 0.214764737298008
"YAL062W" 55.4372748153519 -0.0712346711506217 0.207347656657109 -0.34355185054453 0.731183340538147 0.914744427640596
"YAL061W" 80.7642394999642 0.0834704033429849 0.272419357442543 0.306404082759023 0.759297000167872 0.924616277999095
"YAL060W" 2058.99321243109 0.297601212649809 0.1179687770597 2.52271168751036 0.0116453835301061 0.252347208463402
"YAL059W" 1910.11278380697 -0.0327641136248588 0.116283561250493 -0.281760493680442 0.778127165524081 0.930045848994031
"YAL058W" 303.195761827875 -0.0353470619263638 0.124515369869703 -0.28387709857307 0.776504567506664 0.929913215743402
"YAL056W" 302.826323515748 -0.0900397558015934 0.128585751529729 -0.700231205482949 0.483782926488155 0.80396776189336
"YAL055W" 410.112891299984 0.107933615762229 0.113065669488407 0.954609973572003 0.339774971599997 0.709051139241334
"YAL054C" 204.611482073614 0.00570328503006247 0.175824347599888 0.0324374019179702 0.974123235754034 0.991811135506168
"YAL053W" 1894.68243944485 -0.122813186265122 0.164107313664742 -0.748371193961651 0.454236292689639 0.785459175294934
"YAL051W" 173.759975989931 -0.0831557879445963 0.130586048501026 -0.636789219821926 0.524262148917327 0.826613526967997
"YAL049C" 670.472217069877 -0.135142056586572 0.130721294886683 -1.03381822145903 0.301221151547108 0.683397039618831
"YAL048C" 6.59250544185473 0.180336875359719 0.559527104242439 0.322302304914939 0.747223687159459 NA
"YAL047W-A" 9.12220076249399 -0.341084001764668 0.561436308988747 -0.60752038353028 0.543505619507847 NA
"YAL047C" 422.30397006331 -0.105386904482545 0.0877280728010982 -1.20129054608876 0.229638516377012 0.630503089668176
"YAL046C" 1066.50479392899 -0.0200806977379933 0.140815878669432 -0.142602509942313 0.886604115095914 0.965575384126642
