"Gene_Name" "Gene_ID"
"141" "ERP2-TRN1" "YAL007C-tP(UGG)A"
"142" "VPS8" "YAL002W"
"143" "TRN1-SSA1" "tP(UGG)A-YAL005C"
"144" "SSA1-EFB1" "YAL005C-YAL003W"
"145" "TFC3" "YAL001C"
"146" "EFB1-VPS8" "YAL003W-YAL002W"
"147" "NUP60" "YAR002W"
"148" "ERP1" "YAR002C-A"
"149" "SWD1" "YAR003W"
"150" "TFC3-NUP60" "YAL001C-YAR002W"
"151" "RFA1" "YAR007C"
"152" "SEN34" "YAR008W"
"153" "ERP1-SWD1" "YAR002C-A-YAR003W"
"154" "YAR009C" "YAR009C"
"155" "SWD1-RFA1" "YAR003W-YAR007C"
"156" "RFA1-SEN34" "YAR007C-YAR008W"
"157" "YAR010C" "YAR010C"
"158" "SEN34-YAR009C" "YAR008W-YAR009C"
"159" "TGA1" "tA(UGC)A"
"160" "ADE1" "YAR015W"
"161" "BUD14" "YAR014C"
"162" "KIN3" "YAR018C"
"163" "YAR010C-TGA1" "YAR010C-tA(UGC)A"
"164" "TGA1-BUD14" "tA(UGC)A-YAR014C"
"165" "CDC15" "YAR019C"
"166" "YAR019W-A" "YAR019W-A"
"167" "PAU7" "YAR020C"
"168" "KIN3-CDC15" "YAR018C-YAR019C"
"169" "YAR023C" "YAR023C"
"170" "YAR019W-A-PAU7" "YAR019W-A-YAR020C"
"171" "SUP56" "tL(CAA)A"
"172" "PAU7-YAR023C" "YAR020C-YAR023C"
"173" "tS(AGA)A" "tS(AGA)A"
"174" "UIP3" "YAR027W"
"175" "YAR023C-SUP56" "YAR023C-tL(CAA)A"
"176" "YAR028W" "YAR028W"
"177" "SUP56-tS(AGA)A" "tL(CAA)A-tS(AGA)A"
"178" "YAR029W" "YAR029W"
"179" "YAR030C" "YAR030C"
"180" "PRM9" "YAR031W"
"181" "tS(AGA)A-UIP3" "tS(AGA)A-YAR027W"
"182" "MST28" "YAR033W"
"183" "UIP3-YAR028W" "YAR027W-YAR028W"
"184" "YAT1" "YAR035W"
"185" "YAR028W-YAR029W" "YAR028W-YAR029W"
"186" "YAR035C-A" "YAR035C-A"
"187" "SWH1" "YAR042W"
"188" "PRM9-MST28" "YAR031W-YAR033W"
"189" "MST28-YAT1" "YAR033W-YAR035W"
"190" "YAR035C-A-SWH1" "YAR035C-A-YAR042W"
"191" "SWH1-YAR047C" "YAR042W-YAR047C"
"192" "YAR047C" "YAR047C"
"193" "FLO1" "YAR050W"
"194" "YAR047C-FLO1" "YAR047C-YAR050W"
"195" "YAR053W" "YAR053W"
"196" "YAR053W-YAR060C" "YAR053W-YAR060C"
"197" "PHO11" "YAR071W"
"198" "IMD1" "YAR073W"
"199" "YAR061W" "YAR061W"
"200" "YAR062W" "YAR062W"
"201" "YAR064W" "YAR064W"
"202" "YAR066W" "YAR066W"
"203" "YAR068W" "YAR068W"
"204" "YAR069C" "YAR069C"
"205" "YAR070C" "YAR070C"
"206" "YAR068W-YAR069C" "YAR068W-YAR069C"
"207" "YAR075W" "YAR075W"
"208" "YBL113W-A" "YBL113W-A"
"209" "YBL113C" "YBL113C"
"210" "YBL112C" "YBL112C"
"211" "YBL111C" "YBL111C"
"212" "CHR_START-YBL113C" "CHR_START-YBL113C"
"213" "YBL109W" "YBL109W"
"214" "YBL108W" "YBL108W"
"215" "YBL107W-A" "YBL107W-A"
"216" "tL(UAA)B1" "tL(UAA)B1"
"217" "PAU9" "YBL108C-A"
"218" "MIX23" "YBL107C"
"219" "SRO77" "YBL106C"
"220" "YBL109W-PAU9" "YBL109W-YBL108C-A"
"221" "PAU9-YBL108W" "YBL108C-A-YBL108W"
"222" "YBL108W-YBL107W-A" "YBL108W-YBL107W-A"
"223" "PKC1" "YBL105C"
"224" "YBL107W-A-tL(UAA)B1" "YBL107W-A-tL(UAA)B1"
"225" "tL(UAA)B1-MIX23" "tL(UAA)B1-YBL107C"
"226" "MIX23-SRO77" "YBL107C-YBL106C"
"227" "SEA4" "YBL104C"
"228" "RTG3" "YBL103C"
"229" "PKC1-SEA4" "YBL105C-YBL104C"
"230" "SFT2" "YBL102W"
"231" "ECM21" "YBL101C"
"232" "SEA4-RTG3" "YBL104C-YBL103C"
"233" "YBL100W-C" "YBL100W-C"
"234" "RTG3-SFT2" "YBL103C-YBL102W"
"235" "SFT2-ECM21" "YBL102W-YBL101C"
"236" "YBL100W-A" "YBL100W-A"
"237" "YBL100W-B" "YBL100W-B"
"238" "YBL100W-C-YBL100W-A" "YBL100W-C-YBL100W-A"
"239" "tF(GAA)B" "tF(GAA)B"
"240" "ATP1" "YBL099W"
"241" "BNA4" "YBL098W"
"242" "YBL100C" "YBL100C"
"243" "YBL100W-B-tF(GAA)B" "YBL100W-B-tF(GAA)B"
"244" "BRN1" "YBL097W"
"245" "tF(GAA)B-YBL100C" "tF(GAA)B-YBL100C"
"246" "YBL096C" "YBL096C"
"247" "YBL095W" "YBL095W"
"248" "YBL094C" "YBL094C"
"249" "ATP1-BNA4" "YBL099W-YBL098W"
"250" "ROX3" "YBL093C"
"251" "BNA4-BRN1" "YBL098W-YBL097W"
"252" "RPL32" "YBL092W"
"253" "SCS22" "YBL091C-A"
"254" "MAP2" "YBL091C"
"255" "MRP21" "YBL090W"
"256" "AVT5" "YBL089W"
"257" "ROX3-RPL32" "YBL093C-YBL092W"
"258" "TEL1" "YBL088C"
"259" "RPL32-SCS22" "YBL092W-YBL091C-A"
"260" "SCS22-MAP2" "YBL091C-A-YBL091C"
"261" "MAP2-MRP21" "YBL091C-YBL090W"
"262" "AVT5-TEL1" "YBL089W-YBL088C"
"263" "RPL23A" "YBL087C"
"264" "YBL086C" "YBL086C"
"265" "BOI1" "YBL085W"
"266" "TEL1-RPL23A" "YBL088C-YBL087C"
"267" "RPL23A-YBL086C" "YBL087C-YBL086C"
"268" "CDC27" "YBL084C"
"269" "YBL086C-BOI1" "YBL086C-YBL085W"
"270" "YBL083C" "YBL083C"
