"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YLR303W",5934.34529050564,-0.550312745847564,0.107533700178481,-5.11758402188498,3.09474210903294e-07,0.00173924506527651
"YLR216C",4436.59992677717,-0.589404965770677,0.125428026656349,-4.69914883844536,2.61248012556848e-06,0.00734106915284742
"YKL096W",5433.70438612326,-0.534723929445225,0.117284420680631,-4.55920680975435,5.1347187271544e-06,0.00961903974886925
"YDR543C",20.8760050603331,-1.17031739144044,0.26609893257011,-4.39805368678843,1.09225964018037e-05,0.0153462479445343
"YDR147W",502.730251071101,0.338190017317952,0.0806441443544018,4.19360909617603,2.74550941224297e-05,0.0226272419674384
"YKR099W",1948.19878697873,-0.252911684558078,0.0607613529533124,-4.16237743673037,3.14951197591723e-05,0.0226272419674384
"YGR109C",648.107479112891,0.407623198195944,0.0983196829647786,4.14589618176422,3.38487178727504e-05,0.0226272419674384
"YOR079C",416.207076005074,-0.329382832918483,0.0795775937987953,-4.13914039360498,3.48609575913913e-05,0.0226272419674384
"YDR092W",2577.76476460733,-0.451127768539885,0.109534743051834,-4.11858152007902,3.81211713645664e-05,0.0226272419674384
"YOR287C",2172.73912189025,-0.491126835068616,0.119612835294023,-4.10597101775378,4.02619963833424e-05,0.0226272419674384
"YLR064W",2005.58739618463,-0.311373967271588,0.0762475525665992,-4.08372409067971,4.43196492809857e-05,0.0226433117235581
"YLR050C",2079.48353802417,-0.389347750325649,0.0964469070851751,-4.03691276467585,5.41591959085014e-05,0.0253645567504815
"YGR221C",229.176842493772,0.370390639370264,0.0933287968993739,3.96866403163447,7.22766978631418e-05,0.0308724693818508
"YEL059C-A",673.977677302235,-0.420851073953784,0.106441070251336,-3.95384105928325,7.69065073569238e-05,0.0308724693818508
"YHL020C",595.367413773024,0.344733280790417,0.087563162246617,3.93696700696457,8.25179470362003e-05,0.0309167241562297
"YHR011W",253.258103609457,0.464109867983054,0.118800985042608,3.90661632827877,9.35975929557145e-05,0.0328761545256947
"YDL175C",255.223446856662,0.458926884116919,0.118084881571187,3.88641524647893,0.00010173542315384,0.0336325340073284
"YNL111C",6325.70056757346,-0.625131003807891,0.164448779633262,-3.80137210626919,0.000143897008698184,0.0449278438268773
"YLR110C",309795.304170417,-0.474821962918339,0.126760570231972,-3.74581750499714,0.000179807272648323,0.0451501189930665
"YOR231W",261.436566272794,0.413880789896714,0.111170678953203,3.72293120626651,0.000196923191180687,0.0451501189930665
"YBR054W",204.140159792959,0.757439002433765,0.203569916159718,3.72078063754513,0.000198607900402156,0.0451501189930665
"YOR313C",71.2701704413848,0.700521753244384,0.18833993986216,3.71945405609173,0.000199653858837619,0.0451501189930665
"YAL005C",5527.84911873841,-0.691112540050065,0.185840282418294,-3.71885218348136,0.000200130116953752,0.0451501189930665
"YGR060W",19705.5649854545,-0.246790855887819,0.0664313839111335,-3.71497387767738,0.000203224687469463,0.0451501189930665
"YGL157W",1703.71408834703,-0.452979344913961,0.122121680045483,-3.70924593196929,0.000207877437156782,0.0451501189930665
"YDR072C",1028.86531492512,-0.434805169639423,0.117260486752883,-3.70802801250296,0.00020887955406045,0.0451501189930665
"YPL075W",478.102541887502,0.356037223384047,0.0963335610023559,3.6958793973716,0.000219126980721795,0.0456108752465366
"YLR109W",57163.9853985263,-0.483056055455845,0.132378657017712,-3.64904786268692,0.000263214065260515,0.0528308230987177
"YPR151C",391.065334940776,-0.513011729129408,0.141289543580076,-3.63092495120602,0.000282407302623616,0.054728587611887
"YER142C",242.131130431707,-0.482601823312921,0.134570960635877,-3.58622559453038,0.000335498748141535,0.0628500988185142
"YNR066C",44.3711763091956,-0.840166787627399,0.235405700634685,-3.5690163210245,0.000358324104996124,0.0649606925831682
"YJL037W",164.253024475278,-0.686305966566311,0.193758019185529,-3.54207773929166,0.0003969884588598,0.0690960716477275
"YHL028W",81.482987590453,0.772283458443333,0.218530359439218,3.53398704154942,0.000409341147180913,0.0690960716477275
"YDL110C",969.655783877427,-0.567311520138405,0.161179613337764,-3.51974736997017,0.000431958021185138,0.0690960716477275
"YBR105C",640.851049828481,-0.54087011792798,0.153691786907767,-3.51918686619581,0.000432871696848302,0.0690960716477275
"YOR382W",2461.97896115038,-1.00760037985085,0.286797508499321,-3.51328149649261,0.000442608288134909,0.0690960716477275
"YHR070W",4859.91727377297,-0.323603642734097,0.0925094991764581,-3.49805853036602,0.000468658268881503,0.0701744931878807
"YDR475C",372.061004776981,0.497885341078054,0.142466275449489,3.49475930010241,0.000474489455718767,0.0701744931878807
"YJL173C",3317.2942000521,-0.343146618283419,0.0985756255678307,-3.48104935988762,0.000499453440929554,0.0719725214877973
"YHR039C-A",16392.5980161732,-0.423664942479211,0.122693309000575,-3.45304031597376,0.000554306152345033,0.0768200114990334
"YMR191W",78.1783210809663,-0.852947235670094,0.247597450393636,-3.44489506783717,0.000571281118533103,0.0768200114990334
"YIL064W",1331.7804237921,0.52064555049822,0.151193786896531,3.44356445582331,0.000574099730063951,0.0768200114990334
"YLL001W",364.520082266705,0.312517704363676,0.091364273361968,3.42056794044145,0.000624905246019124,0.0815999755528588
"YLR103C",264.258356767943,0.382419584089829,0.112005972682643,3.4142784972135,0.000639511698014994,0.0815999755528588
"YJL218W",194.371584796237,-0.51975538738294,0.152491182945105,-3.40842911271824,0.000653380587167019,0.0815999755528588
"YBL054W",2306.55452291209,-0.348605967434236,0.102491693376894,-3.401309471513,0.000670638593704306,0.0819345412308304
"YNL259C",2395.71631229493,-0.28774654110239,0.0849974968308154,-3.3853531201647,0.000710867418765447,0.0833448580411839
"YCR015C",2036.47979799421,-0.34518163867537,0.101974589273583,-3.38497699411466,0.000711842203910467,0.0833448580411839
"YHR071W",1424.47653957877,-0.365490940972804,0.109244638186128,-3.34561903486824,0.000820991111145784,0.0934535511568867
"YFL039C",53138.559503089,-0.282271064711148,0.0845151133380704,-3.33988861355519,0.000838119981037629,0.0934535511568867
"YPL189C-A",1798.72128641792,-0.482373682775864,0.144792838203824,-3.33147473839023,0.000863871402395724,0.0934535511568867
"YBL035C",165.203612796023,0.345704489172943,0.103777466430061,3.33120956856201,0.000864694779387564,0.0934535511568867
"YDR380W",975.699917272913,-0.534688493340672,0.161592235304416,-3.30887491180127,0.000936716776005187,0.0983104818231128
"YDR006C",1692.64229938053,-0.296603914078043,0.0897026965826203,-3.30652171425925,0.000944620287980088,0.0983104818231128
"YER048W-A",2383.37334172554,-0.324319644737518,0.0983457336736152,-3.29775001540843,0.000974628633961227,0.0984726498896066
"YDL097C",3141.66582322567,-0.413549755684659,0.125584137321985,-3.29300948753073,0.000991211297778151,0.0984726498896066
"YJR007W",10063.3010354156,-0.203569033271599,0.0618585344170965,-3.29088031570526,0.000998743957955085,0.0984726498896066
"YDR347W",831.655501355447,0.218285861572128,0.0666749993225958,3.27387872200776,0.00106082130080636,0.0997930365109006
"YHR124W",41.2282932826491,0.747470621978547,0.228318345311824,3.27380886085914,0.00106108358982595,0.0997930365109006
"YLR363W-A",2234.30091711047,-0.222428145639714,0.0679655557539753,-3.27265985207079,0.00106540608374627,0.0997930365109006
"YNL034W",35.8632166446051,-0.860937585208652,0.26423073733634,-3.25827946395488,0.00112089961643508,0.103269767940412
"YDR525W-A",734.411792835474,-0.340169571516776,0.105547441559889,-3.2229068416003,0.00126896816694933,0.115025824165407
"YAR002C-A",4071.2804367259,-0.452087209737436,0.140776341377452,-3.21138626926872,0.00132096246130014,0.117838238611219
"YAR003W",252.989316405841,0.312117463520508,0.0974400087027799,3.20317565316067,0.0013592105042325,0.118005129358749
"YDR296W",620.219865758673,0.244763199050746,0.0765672876462447,3.1967071914784,0.00139005954942454,0.118005129358749
"YDR111C",198.905334046058,0.49964991338774,0.156433893336669,3.19400037121379,0.00140315936898411,0.118005129358749
"YIL122W",1313.23192991292,-0.29909020756329,0.0937220181245424,-3.19124804980026,0.00141659602988203,0.118005129358749
