"","Gene_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene_Name"
"1","Q0045",4443.85443799224,-0.224489865543094,0.178857635437047,-1.25513157430793,0.209431000114619,0.623668482473921,"COX1"
"2","Q0085",89.678753151649,-0.303795054233491,0.181761833767614,-1.67139078615315,0.0946445146521806,0.483544638560363,"ATP6"
"3","Q0105",16.6959886001899,-0.502067114243596,0.425620983253621,-1.17961081337106,0.238155040188878,0.64940869765235,"COB"
"4","Q0130",3087.38005984659,-0.341428115918147,0.623451840846811,-0.547641523448544,0.583938071787609,0.860669279686956,"OLI1"
"5","Q0140",5.45011234260429,-0.0706607075544074,0.570339377304736,-0.123892388227392,0.901400479829369,0.971210806307222,"VAR1"
"6","Q0160",18.0025151016671,-0.740244045936425,0.33853230449407,-2.1866274979066,0.0287697282713347,0.355349626266004,"SCEI"
"7","Q0250",782.183857447278,-0.0134886734718684,0.188681245645475,-0.0714892114779286,0.9430084105831,0.983978326676016,"COX2"
"8","Q0255",46.2620279692034,-0.479764740161656,0.25953960200192,-1.84852229278716,0.0645268224682917,0.440838150266957,"Q0255"
"9","Q0275",64.6008895244539,-0.0361753214852929,0.192022278254541,-0.188391273211224,0.850569940188827,0.956875529812439,"COX3"
"10","YAL001C",509.906725850033,0.0942811221556337,0.111513330262906,0.845469523090692,0.397848741896953,0.758351527321986,"TFC3"
"11","YAL002W",242.402665138451,0.041662843054386,0.149560825980869,0.278567885548555,0.780576461063726,0.938853061549328,"VPS8"
"12","YAL003W",93985.9055532097,-0.0307756434617132,0.0654070942015674,-0.470524548405572,0.637980299825675,0.883205233418405,"EFB1"
"13","YAL004W",91.9571881241081,0.0697177639086297,0.19560606241932,0.356419238986449,0.721526623535742,0.922201820081612,"YAL004W"
"14","YAL005C",5527.84911873841,-0.691112540050065,0.185840282418294,-3.71885218348136,0.000200130116953752,0.0451501189930665,"SSA1"
"15","YAL007C",2843.45283281257,-0.0443821479952669,0.0767515359205819,-0.578257457169209,0.563090312212183,0.850268328040183,"ERP2"
"16","YAL008W",127.42835614111,0.120215740290848,0.155441281152021,0.773383617272665,0.439295382635126,0.786981891479073,"FUN14"
"17","YAL010C",111.49627883375,-0.131969658068691,0.195141515594432,-0.67627668908223,0.498864990109752,0.819459191666459,"MDM10"
"18","YAL011W",875.666061894168,0.0233001800781207,0.0887424400630225,0.26255960577119,0.792890037827704,0.942878123696931,"SWC3"
"19","YAL012W",18331.9739730977,-0.13347782936145,0.0820876884293968,-1.62603956714233,0.1039412384949,0.498456061651246,"CYS3"
"20","YAL013W",966.520017457611,-0.0255027800494282,0.109719699465984,-0.232435744661647,0.816199588801583,0.950682215350237,"DEP1"
"21","YAL014C",417.165843832945,-0.197028953085465,0.111966026995112,-1.75972085795333,0.0784551474964687,0.470852944407749,"SYN8"
"22","YAL015C",216.717953914318,0.138341796622945,0.136081915076376,1.01660677354004,0.309340530633789,0.703655757223055,"NTG1"
"23","YAL016W",1155.88409176611,-0.0159570081507717,0.0940522881576527,-0.169661030723932,0.865276722655175,0.961989155553329,"TPD3"
"24","YAL017W",139.301480867239,-0.1746486609332,0.11687273216475,-1.49434908980314,0.135084400653885,0.548057200534601,"PSK1"
"25","YAL018C",6.95953515957042,-0.217581940341538,0.518750666449579,-0.41943452686183,0.674898595192317,0.900521275839877,"LDS1"
"26","YAL019W",1778.49394882938,-0.0142487725499531,0.105267288606478,-0.135358027537115,0.892328807828515,0.970185316308039,"FUN30"
"27","YAL020C",155.804069479209,-0.0191662851678564,0.143845816077754,-0.133241867511087,0.894002100532046,0.970941071688126,"ATS1"
"28","YAL021C",331.973790059127,-0.250627729557727,0.146691637923005,-1.70853453616268,0.0875372038115965,0.473632027244049,"CCR4"
"29","YAL022C",428.077992956962,0.220171993355734,0.104827785479231,2.10032094400541,0.0357006180951665,0.380716268870656,"FUN26"
"30","YAL023C",1816.0024615745,-0.134855549584047,0.0986091711931803,-1.36757613873317,0.171444789618705,0.59220634152251,"PMT2"
"31","YAL024C",663.884034466029,0.0738942415425365,0.0805868633520652,0.916951454230323,0.359168079377357,0.733453886238966,"LTE1"
"32","YAL025C",5330.16495015125,-0.0766498540870075,0.0812548324735623,-0.943326713668961,0.345513815988181,0.723526950081659,"MAK16"
"33","YAL026C",164.104309493774,0.0597377951526982,0.151748788845867,0.393662418046541,0.693830291485638,0.908722031729034,"DRS2"
"34","YAL026C-A",154.683717799649,-0.334439333464594,0.211088800481706,-1.58435375397179,0.113113239625709,0.512658392497164,"YAL026C-A"
"35","YAL027W",227.053475435008,-0.0552649351341786,0.11487845095684,-0.481073122712471,0.630464529608081,0.88053893002322,"SAW1"
"36","YAL028W",140.479739052666,-0.230000154633494,0.187020717769729,-1.2298110999482,0.218767850629813,0.633060956362574,"FRT2"
"37","YAL029C",919.04960914895,0.0664720690008708,0.0777574912751218,0.854863858270313,0.392626520877062,0.753812966331953,"MYO4"
"38","YAL030W",756.080145606364,-0.0755947497931118,0.101923523696651,-0.741681086479113,0.458280581772334,0.797872030735382,"SNC1"
"39","YAL031C",430.631062515158,0.0195027234954558,0.0920826294041745,0.21179590137303,0.832266266220415,0.954888883140963,"GIP4"
"40","YAL032C",474.478685509888,0.0578551094683563,0.128156803620056,0.451440015934528,0.651672448142685,0.887854341469548,"PRP45"
"41","YAL033W",808.285210044967,0.151135940431186,0.123475848056185,1.22401216764606,0.220947637468427,0.633060956362574,"POP5"
"42","YAL034C",220.534384660515,0.114888024476484,0.109928943901033,1.04511169123862,0.295971351233432,0.690190453913646,"FUN19"
"43","YAL034W-A",237.950405504548,0.0819584530650674,0.124287946357849,0.659423986531188,0.509623543339909,0.823249299675278,"MTW1"
"44","YAL035W",33941.4146433457,0.0375015173356865,0.0660991940133872,0.567352112161779,0.570474978255144,0.852224714990406,"FUN12"
"45","YAL036C",1409.9946316786,0.214162507865948,0.15332938532776,1.39674797109602,0.162489373065461,0.583025339771307,"RBG1"
"46","YAL037C-A",21.3443865008946,0.30607375878214,0.27341992905478,1.11942739448527,0.262957849469523,0.665778809233291,"YAL037C-A"
"47","YAL037W",72.2603039258148,0.403912723169744,0.147156059973297,2.74479163986205,0.00605493275784059,0.191172596062158,"YAL037W"
"48","YAL038W",28517.9524732283,-0.0375087717681448,0.295066186421887,-0.127119858168074,0.898845534420886,0.971034428413858,"CDC19"
"49","YAL039C",621.355717936103,-0.0633629847914214,0.0960534871041077,-0.65966355518926,0.50946975923518,0.823237506297214,"CYC3"
"50","YAL040C",4823.84569168806,-0.329037555579013,0.15152690996807,-2.17147934745286,0.0298949566485893,0.360301550753741,"CLN3"
"51","YAL041W",1041.56272609053,0.0671568240925823,0.0818552788048684,0.82043363693959,0.411968946536616,0.770512452945202,"CDC24"
"52","YAL042W",1032.11648224965,-0.0548943912318225,0.135677619715186,-0.404594297475564,0.685775750926536,0.90566235522215,"ERV46"
"53","YAL043C",604.683084621916,0.277340581153224,0.0997011349853787,2.78171939761665,0.00540717688995855,0.184171721948891,"PTA1"
"54","YAL044C",6580.72859503347,0.128098904373615,0.150184713528543,0.852942362534582,0.393691267924163,0.753848356297717,"GCV3"
"55","YAL044W-A",1086.74706342503,-0.275025715399692,0.0895722981811281,-3.07043272288884,0.00213748836062388,0.126449311439013,"YAL044W-A"
"56","YAL046C",1061.09188853573,-0.0617208859219308,0.131932001116004,-0.467823465117165,0.639910838744402,0.883365040733766,"AIM1"
"57","YAL047C",420.708769248183,-0.0858777646752886,0.0911324128762135,-0.942340512721172,0.34601833280184,0.723526950081659,"SPC72"
"58","YAL047W-A",9.25960503785343,-0.295257804623944,0.541052520029227,-0.545710062690392,0.585265253808492,0.861298147168113,"YAL047W-A"
